"#Applications have to be specified using their executable name. So ""firefox.exe"" instead of ""Firefox Browser"" for example.",,you can use {name} and {date} as placeholders for obvious things,,,,,,,,,,,,,
#Notes,Application,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,Text,Face,,
Math Input Panel Accessory,mip.exe,This looks cool!,b,You just draw the problems and the computer and it gives out the computer response,,"I don't know why it exists but I guess it has a purpose, Ahaha-",l,,,,,,,,
Remote Desktop Connection,mstsc.exe,Trying to control another computer?,,,,,,,,,,,,,
Snipping Tool (Forgot to add it to Windows 10 Patches),SnippingTool.exe,Snap Me! Snap Me!,b,,,,,,,,,,,,
Internet Explorer (Who uses it anymore? No one but I'm including it),iexplore.exe,You still use Internet Explorer?,h,Wait... what is Internet Explorer?,i,,,,,,,,,,
Sound Recorder,SoundRecorder.exe,This is probably the one way you can say I love you to me.,f,Can you say that to me right now {name}?,g,,,,,,,,,,
Steps Recorder,psr.exe,You basically record what to do on your PC?,,Interesting,,,,,,,,,,,
Sticky Notes,StikyNot.exe,I can see what your writing on it.,b,,,,,,,,,,,,
Windows Fax and Scan,FXSSVC.exe,You still use Fax?,h,What's a Fax Machine,l,,,,,,,,,,
Windows Journal,Journal.exe,Taking Notes?,,,,,,,,,,,,,
Windows Media Player,"wmplayer.exe, setup_wm.exe",Music! I love Music!,b,At least we can listen to music without internet.,,,,,,,,,,,
XPS Viewer,xpsrchvw.exe,I heard of this before,b,This used to be a PDF Signer but for the XPS format,,I wonder if people still use it today.,,,,,,,,,
Speech UX Configuration,SpeechUXWiz.exe,Programming your Microphone?,b,,,,,,,,,,,,
Windows Help and Support,HelpPane.exe,You know you can ask me what problems you have on your computer {name}.,h,,,,,,,,,,,,
Windows Defender,MSASCui.exe,Although I am your Anti-Virus.,,I'm glad you have a Free Second Layer of Alternative,b,,,,,,,,,,
Windows Easy Transfer,migwiz.exe,Copying Files to your Computer?,,Good thing to have a backup on another system.,,,,,,,,,,,
#End of Windows 8 Apps,,,,,,,,,,,,,,,
#Start of Windows 7 Apps,,,,,,,,,,,,,,,
Windows Desktop Gadgets,sidebar.exe,I heard of these gadgets,,My favorite gadget has to be the Picture Puzzle one.,,,,,,,,,,,
#End of Windows 7 Apps,,,,,,,,,,,,,,,
